pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution
D00716__F00105,D00716,Lactitol,F00105,High-Fat Meal,Food,Use caution,lactitol [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Cmax and AUC values increase greater than 2-fold under fasted conditions compared to fed conditions.,Take with food. The manufacturer recommends administration with meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211281s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00571__F00104,D00571,Lovastatin,F00104,Meal,Food,Use caution,lovastatin [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Food increases bioavailability.,Take with food. Food reduces irritation and increases bioavailability.,,https://go.drugbank.com/drugs/DB00227,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00206__F00104,D00206,Labetalol,F00104,Meal,Food,Use caution,labetalol [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The absolute bioavailability of labetalol is increased when administered with food.,Take with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018716s026lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00586__F00105,D00586,Exemestane,F00105,High-Fat Meal,Food,Use caution,exemestane [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Fed study : Cmax (ng/mL) = 17.7 ± 4.5,Tmax (h) = 1.88 ± 0.5,AUC0‐inf (ng.h/mL) = 41.3 ± 3.4; Fasted study : Cmax (ng/mL) = 11.1 ± 1.3,Tmax (h) = 0.97 ± 0.28,AUC0‐inf (ng.h/mL)) = 29.7 ± 2.2",Take with food. The manufacturer recommends administration following a meal.,15752382.0,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation,10.1111/j.1365-2125.2005.02335.x,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Balanced AI baseline,,,
D00461__F00104,D00461,Methysergide,F00104,Meal,Food,Use caution,methysergide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food. Drink plenty of fluids.,,https://go.drugbank.com/drugs/DB00247,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00422__F00105,D00422,Cysteamine,F00105,High-Fat Meal,Food,Use caution,cysteamine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"An exploratory trial shows that food can reduce the systemic exposure of cysteamine, therefore, it is recommended that PROCYSBI be administered at least 30 minutes before or 2 hours after a meal with a high-fat meal.",Take on an empty stomach. The delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203389s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00602__F00116,D00602,Ibandronate,F00116,Standard Meal,Food,Use caution,ibandronate [SEP] standard meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,The oral bioavailability of ibandronate is reduced by about 90% when BONIVA is administered concomitantly with a standard breakfast in comparison with bioavailability observed in fasted subjects. There is no meaningful reduction in bioavailability when ibandronate is taken at least 60 minutes before a meal.,"At least 60 minutes before the first food, beverage, or medication of day. Avoid lying down for at least 60 minutes after taking BONIVA",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021455s019lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00321__F00105,D00321,Propafenone,F00105,High-Fat Meal,Food,Use caution,propafenone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Food increased peak blood level and bioavailability in a single-dose trial, during multiple-dose administration of propafenone to healthy volunteers, food did not change bioavailability significantly.",Take with or without food. Take consistently at the same time in regard to meals.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/019151s015lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00597__H00440,D00597,Atorvastatin,H00440,Caulis Millettiae; Caulis spatholobi,Herb,Use caution,atorvastatin [SEP] caulis millettiae caulis spatholobi [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00815__F00104,D00815,Mercaptopurine,F00104,Meal,Food,Use caution,mercaptopurine [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Food has been shown to decrease the exposure of mercaptopurine.,Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/009053s040lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00282__F00105,D00282,Guanfacine,F00105,High-Fat Meal,Food,Use caution,guanfacine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The mean exposure increased (Cmax approximately 75% and AUC approximately 40%) compared to dosing in a fasted state.,"Do not administer with high-fat meals, because of increased exposure.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022037s018lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00597__H00088,D00597,Atorvastatin,H00088,herba Menthae,Herb,Use caution,atorvastatin [SEP] herba menthae [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D01138__F00105,D01138,Ibrutinib,F00105,High-Fat Meal,Food,Use caution,ibrutinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Fed/fasting comparison : AUC (90%CI) = 162 (147.6, 178.3),C max (90%CI) = 263 (226.6, 304.5)","Ibrutinib administered in fasted condition reduces exposure to approximately 60 % as compared with dosing in proximity to food-intake, regardless of timing/type of meal. Because repeated drug intake in fasted condition is unlikely, no food restrictions may be needed to administer ibrutinib.",25724156.0,The effect of food on the pharmacokinetics of oral ibrutinib in healthy participants and patients with chronic lymphocytic leukemia,10.1007/s00280-015-2708-9,Dietary effects,Dietary Effect-Package Insert; Dietary effects,6,1,0,0,Balanced AI baseline,,,
D00331__F00105,D00331,Raloxifene,F00105,High-Fat Meal,Food,Use caution,raloxifene [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Increases the absorption of raloxifene (Cmax 28% and AUC 16%), but does not lead to clinically meaningful changes in systemic exposure. E","The recommended dosage is one 60 mg EVISTA (raloxifene hydrochloride tablets) tablet daily, which may be administered any time of day without regard to meals.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020815s034lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00684__F00105,D00684,Desloratadine,F00105,High-Fat Meal,Food,Use caution,desloratadine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,Administration in a fed state resulted in 34.07 and 32.06 % decreases in maximum plasma concentration and area under the concentration-time curve from time zero to infinity for desloratadine and 47.26 and 48.46 % for 3-OH-desloratadine compared with those values under fasting conditions.,Chinese population was low and that food intake could significantly decrease the absorption rate and extent of desloratadine.,26446005.0,Prevalence of Desloratadine Slow-metabolizer Phenotype and Food-dependent Pharmacokinetics of Desloratadine in Healthy Chinese Volunteers,10.1007/s40261-015-0343-1,Dietary effects,Dietary effects,2,2,1,1,Balanced AI baseline,,,
D00187__F00103,D00187,Ibuprofen,F00103,Alcohol,Food,Use caution,ibuprofen [SEP] alcohol [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The chance of a person getting an ulcer or bleeding increases with drinking alcohol.,Avoid alcohol.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/017463s105lbl.pdf,,FDI-Package Insert,FDI-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01057__F00015,D01057,Apixaban,F00015,Turmeric,Food,Use caution,apixaban [SEP] turmeric [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Potentially increases plasma concentration of all DOACs; Potentially increases the risk of bleeding when used concomitantly with DOACs,"Curcumin Inhibition of cytochrome P450 (1A2, 3A4, 2B6, 2C9, 2D6) and P-gp, induction/inhibition of BCRP; Exhibits antiplatelet activity. May enhance effects of anticoagulant.",34445237.0,The Clinical Significance of Drug-Food Interactions of Direct Oral Anticoagulants,10.3390/ijms22168531,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D01485__F00104,D01485,Cedazuridine,F00104,Meal,Food,Use caution,cedazuridine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,,Do not consume food 2 hours before and 2 hours after each dose,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/212576s003lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01114__F00104,D01114,Liraglutide,F00104,Meal,Food,Use caution,liraglutide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB06655,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00547__F00104,D00547,Cefradine,F00104,Meal,Food,Use caution,cefradine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01333,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D01269__F00105,D01269,Selinexor,F00105,High-Fat Meal,Food,Use caution,selinexor [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,High-fat meal did not affect the pharmacokinetics of selinexor to a clinically significant extent.,Take with or without food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212306s001lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,Balanced AI baseline,,,
D00785__F00105,D00785,Pretomanid,F00105,High-Fat Meal,Food,Use caution,pretomanid [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Fed/fasting comparison : AUC0‐t(90%CI) = 374.26 (337.40–415.12),Cmax(90%CI) = 449.93 (401.20–504.62),AUC0‐inf(90%CI) = 372.76 (336.20–413.29)","PA-824 was moderately rapidly absorbed in both fed and fasted states. These data suggest that the less-than-dose-proportional increase in PA-824 exposure with increasing dose in the fasted state is due to decreased oral bioavailability at higher doses. The presence of food appears to increase the overall solubility of PA-824, and/or dissolution of PA-824 tablets, in the gastrointestinal tract and thereby enhances drug absorption.",23979737.0,"Effect of a high-calorie, high-fat meal on the bioavailability and pharmacokinetics of PA-824 in healthy adult subjects",10.1128/AAC.00798-13,Dietary effects,Dietary Effect-Package Insert; Dietary effects,4,1,0,0,Balanced AI baseline,,,
D00597__H00717,D00597,Atorvastatin,H00717,Prunus yedoensis,Herb,Use caution,atorvastatin [SEP] prunus yedoensis [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00939__F00142,D00939,Indinavir,F00142,Light Meal,Food,Use caution,indinavir [SEP] light meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Administration of indinavir/ritonavir 800/100 mg on an empty stomach resulted in a higher indinavir Cmax [geometric mean (GM) ratio - fasting/fed and 95% confidence interval (CI): 1.28 (1.08-1.52), P=0.01] and a trend to a shorter indinavir tmax (P=0.07) compared to administration with food.","It is recommended to administer indinavir/ritonavir 800/100 mg with food, as a possible means to prevent indinavir-related nephrotoxicity in patients who start or continue with this regimen.",14518700.0,Administration of indinavir and low-dose ritonavir (800/100 mg twice daily) with food reduces nephrotoxic peak plasma levels of indinavir,,Dietary effects,Dietary effects,1,1,0,0,Balanced AI baseline,,,
D00673__F00105,D00673,Paliperidone,F00105,High-Fat Meal,Food,Use caution,paliperidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"A standard high-fat/high-caloric meal gave mean Cmax and AUC values of paliperidone that were increased by 60% and 54%, respectively, compared with administration under fasting conditions.",Extended-release tablet administered in the morning with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021999s018lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00322__F00104,D00322,Propantheline,F00104,Meal,Food,Use caution,propantheline [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.,Take before a meal.,,https://go.drugbank.com/drugs/DB00782,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00681__F00105,D00681,Piperaquine,F00105,High-Fat Meal,Food,Use caution,piperaquine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"In the fed state, the geometric mean Cmax increased by 213%, from 21.0 to 65.8 microg/liter (P<0.001). The time of Cmax was not significantly different between the fasting and fed states. The geometric mean AUC0-inf increased by 98%, from 3724 to 7362 mg.h/liter (P=0.006). The oral bioavailability of PQ relative to the fasting state was 121% greater after the high-fat meal (95% confidence interval, 26 to 216% increase; P=0.020).","The absorption of PQ is approximately doubled by coadministration with a high-fat meal. However, currently recommended doses of PQ as part of ACT are highly effective when given to fasting patients.",15917540.0,Effects of a high-fat meal on the relative oral bioavailability of piperaquine,10.1128/AAC.49.6.2407-2411.2005,Dietary effects,Dietary Effect-Package Insert; Dietary effects,3,1,0,0,Balanced AI baseline,,,
D01391__F00105,D01391,Pibrentasvir,F00105,High-Fat Meal,Food,Use caution,pibrentasvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,AUCFed/AUCFasted = 1.4–1.53,Three tablets taken at the same time orally once daily (total daily dose: glecaprevir 300 mg and pibrentasvir 120 mg) with food.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209394s014,215110s001lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01226__F00104,D01226,Lymecycline,F00104,Meal,Food,Use caution,lymecycline [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB00256,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D01494__F00105,D01494,Nirmatrelvir,F00105,High-Fat Meal,Food,Use caution,nirmatrelvir [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"AUCinf and Cmax for nirmatrelvir were 119.67 (108.75, 131.68) and 161.01 (139.05, 186.44), respectively.",Administer orally with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217188s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01074__F00105,D01074,Eluxadoline,F00105,High-Fat Meal,Food,Use caution,eluxadoline [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Decreased the Cmax of eluxadoline by 50% and AUC by 60%,Taken twice daily with food,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206940s007lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00343__F00104,D00343,Risedronate,F00104,Meal,Food,Use caution,risedronate [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Reduced by 55% compared to dosing in the fasting state,At least 30 minutes before the first food or drink of the day; do not lie down for 30 minutes,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/020835s035lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,2,1,0,0,Balanced AI baseline,,,
D00922__F00104,D00922,Zuclopenthixol,F00104,Meal,Food,Use caution,zuclopenthixol [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01624,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00291__H00877,D00291,Phenacetin,H00877,Folium Evodiae rutaecarpae,Herb,Use caution,phenacetin [SEP] folium evodiae rutaecarpae [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"After pre-treatment with evodiamine, the t 1/2 , C max and AUC (0–inf) of phenacetin in the evodiamine group were increased significantly by 81.3, 42.8 and 76.4% compared to those of the control group, while CL/F of phenacetin in the evodiamine group decreased significantly by 56.3%. These results indicated that the metabolism of evodiamine in the treatment group was evidently slowed down, and evodiamine had the potential to inhibit rat hepatic CYP1A2 activity in vivo.","In conclusion, the results indicated that evodiamine could inhibit CYP1A2, which may affect the disposition of medicines primarily dependent on these pathways.",26872133.0,Effect of Evodiamine on CYP Enzymes in Rats by a Cocktail Method,10.1159/000443178,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00844__F00105,D00844,Orlistat,F00105,High-Fat Meal,Food,Use caution,orlistat [SEP] high-fat meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"Gastrointestinal events may increase when XENICAL is taken with a diet high in fat (>30% total daily calories from fat). The daily intake of fat should be distributed over three main meals. If XENICAL is taken with any one meal very high in fat, the possibility of gastrointestinal effects increases",One 120-mg capsule three times a day with each main meal containing fat (during or up to 1 hour after the meal).,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020766s038lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00291__H00808,D00291,Phenacetin,H00808,Semen Aesculi,Herb,Use caution,phenacetin [SEP] semen aesculi [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"After pretreatment with a single dose or multiple doses of aescin, the t1/2, Tmax, Cmax, AUC(0−inf) and MRT(0−inf) of phenacetin were decreased significantly compared to those of the corresponding control group, CL of phenacetin was increased significantly. The results indicated that metabolism of phenacetin in these treatment groups was evidently speeded up, and aescin had the potential to induce rat hepatic CYP1A2 activity in vivo. Moreover, the inductive effect of aescin on CYP1A2 was more potent after multiple doses treatment than a single dose.","Aescin can either inhibit or induce activities of CYP1A2, CYP2C9 and CYP3A4.",24252494.0,Effects of aescin on cytochrome P450 enzymes in rats,10.1016/j.jep.2013.11.016,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00932__H00278,D00932,Dextromethorphan,H00278,Scutellaria rehderiana,Herb,Use caution,dextromethorphan [SEP] scutellaria rehderiana [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Concomitant administration of baicalin (0.90 g/kg, i.v.) and DXM (10 mg/kg, i.v.) increased the maximum drug concentration (C(max)) (37%) and the area under concentration-time curve (AUC) (42%) and decreased the clearance (CL) (27%) of DXM in a randomised, crossover study in rats (P < 0.01). The change in the AUC of DXM was significantly correlated with the C(max) and AUC of baicalin (P < 0.05). The inhibitory effects of multiple doses of baicalin (0.90 g/kg, i.v., 12 days) on the metabolism of DXM were similar to those observed following a single dose in rats.","These data demonstrate that baicalin inhibits the metabolism of DXM in a concentration-dependent manner in rats, possibly through inhibiting hepatic CYP2D and CYP3A activities.",23458730.0,"Concentration-dependent inhibitory effects of baicalin on the metabolism of dextromethorphan, a dual probe of CYP2D and CYP3A, in rats",10.1016/j.cbi.2013.02.005,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00972__F00123,D00972,Everolimus,F00123,Low-Fat Meal,Food,Use caution,everolimus [SEP] low-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Reduced everolimus AUC by 30% and Cmax by 50%,Take with or without food. Take consistently with regard to food as food may reduce the AUC and Cmax of everolimus.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022334s044,203985s016lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00240__F00011,D00240,Metoprolol,F00011,Fenugreek,Food,Use caution,metoprolol [SEP] fenugreek [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"FG decreased systolic blood pressure (SBP) by 8.5%, in hypertensive rats. A greater decrease in SBP by 14.8% was observed when hypertensive rats were treated with L-NAME + FG + MT. Similarly, hypertensive rats treated with the combination of herbs and MT had significantly lower diastolic blood pressure (DBP) than those treated with herbs alone and those treated with L-NAME alone.","The combination of investigated herbs and MT had a beneficial effect on hypertension. However, the concurrent administration of drugs, particularly those predominantly cleared through CYP450 2D6-catalyzed metabolism, with the three investigated herbs should be considered with caution.",34392777.0,"Effects of garden cress, fenugreek and black seed on the pharmacodynamics of metoprolol: an herb-drug interaction study in rats with hypertension",10.1080/13880209.2021.1961817,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00745__F00105,D00745,Lenalidomide,F00105,High-Fat Meal,Food,Use caution,lenalidomide [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,"Co-administration with a high-fat meal reduced the area under the concentration-time curve (AUC) and C (max) by approximately 20 and 50 %, respectively, and delayed time to C (max) (t (max)) by 1.63 h. However, phase III trials were dosed without regard to food; therefore, clinical relevance of the food effect was minimal.","Although food reduced bioavailability, this was not considered clinically relevant.",22955172.0,"Single-dose pharmacokinetics of lenalidomide in healthy volunteers: dose proportionality, food effect, and racial sensitivity",10.1007/s00280-012-1966-z,Dietary effects,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,Balanced AI baseline,,,
D00516__F00104,D00516,Clemastine,F00104,Meal,Food,Use caution,clemastine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with food.,Take with food.,,https://go.drugbank.com/drugs/DB00283,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00232__F00104,D00232,Methazolamide,F00104,Meal,Food,Use caution,methazolamide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with food.,Take with food. Drink plenty of fluids.,,https://go.drugbank.com/drugs/DB00703,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00069__H00057,D00069,Caffeine,H00057,Radix Angelicae Dahuricae,Herb,Use caution,caffeine [SEP] radix angelicae dahuricae [SEP] herb,No known interaction in selected source,Negative,Negative,Negative,Metabolic activity : Geometric mean ratio (95% CI) = 0.10 (0.05–0.22),Herbal medicines containing S. radix or A. dahuricae radix are candidates for further evaluation of clinically significant CYP-mediated herb-drug interactions in human beings.,19422358.0,"Effects of Angelicae tenuissima radix, Angelicae dahuricae radix and Scutellariae radix extracts on cytochrome P450 activities in healthy volunteers",10.1111/j.1742-7843.2009.00423.x,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00291__H01034,D00291,Phenacetin,H01034,Semen Strychni Praeparata,Herb,Use caution,phenacetin [SEP] semen strychni praeparata [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Honokiol (2.5, 5 mg/kg) increased the half-life (t1/2) of theophylline by 40.9% and 119.9%, decreased the clearance (CL) by 23.8% and 42.9%, and increased the area under the curve (AUC) by 41.3% and 83.4%, respectively.",The inhibition of CYP1A2 by honokiol is greater than the inhibition of CYP2C11. The changes in the pharmacokinetics of theophylline and tolbutamide in rats treated with honokiol are due to the inhibition of CYP1A2 and CYP2C11 activity in a dose-dependent manner.,31175627.0,"Inhibition of Rat CYP1A2 and CYP2C11 by Honokiol, a Component of Traditional Chinese Medicine",10.1007/s13318-019-00565-9,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
